platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,riotgames,Riot Games,36029255,10486486,361628,131906,4770,124532,16131214,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/687eca1d-7479-4770-ab2c-fdac418e6c08-profile_image-300x300.png,,en,partner,Organization
twitch,esl_csgo,ESL_CSGO,31239503,6337300,246917,40323,9430,35057,15384042,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-300x300.jpeg,,en,partner,Organization
twitch,kaicenat,KaiCenat,641972806,3710035,187704,67252,3310,112373,12628924,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male
twitch,cblol,CBLOL,36511475,3200708,170898,73863,2600,24404,4365663,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/537c6be6-37d3-4e01-a1fb-a56f8bda32ae-profile_image-300x300.png,BR,pt,without status,Organization
twitch,otplol_,otplol_,622498423,3077300,117858,18318,10080,8711,3124139,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/787bd9dd-9367-45ed-a44d-d755427549b8-profile_image-300x300.png,FR,fr,partner,Organization
twitch,auronplay,auronplay,459331509,2992780,222507,118137,1520,51485,9945246,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-300x300.png,ES,es,partner,Male
twitch,gaules,Gaules,181077473,2971101,85669,17712,10065,6612,4490310,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-300x300.png,BR,pt,partner,Male
twitch,trymacs,Trymacs,64342766,2808181,79032,23732,7100,25742,8204840,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-300x300.png,DE,de,partner,Male
twitch,lla,LLA,142055874,2740748,99932,59154,2780,32151,2986492,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/2944bdb8-bbd5-4cfc-9aa6-429a2d0b6789-profile_image-300x300.jpeg,,es,partner,Organization
twitch,eliasn97,eliasn97,238813810,2633520,95618,47738,3310,23134,1049819,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male
twitch,xqc,xQc,71092938,2071371,125781,63735,1950,10569,5504526,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-300x300.jpeg,CA,en,partner,Male
twitch,csgo_mc,csgo_mc,213748641,2020570,111297,38185,3175,10046,5782957,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/22291960-3b5d-4bfd-b929-188df129403e-profile_image-300x300.png,UA,ru,partner,Organization
twitch,lvpes,LVPes,22346597,1999536,113247,46322,2590,11867,3080855,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-300x300.png,ES,es,partner,Organization
twitch,montanablack88,MontanaBlack88,45044816,1672788,56401,27018,3715,21062,5415816,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/6f36c08a-6f7d-40f1-a9e8-12eee2ff0f93-profile_image-300x300.png,DE,de,partner,Male
twitch,baiano,Baiano,140772558,1601944,77318,24678,3895,12063,1511749,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/ec5ec8ec-94ec-4a6c-af54-e2ba0bb6edfc-profile_image-300x300.png,BR,pt,partner,Male
twitch,castro_1021,Castro_1021,52091823,1416052,49292,28088,3025,32412,3208397,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-300x300.jpg,US,en,partner,Male
twitch,hasanabi,HasanAbi,207813352,1323470,47524,30194,2630,11161,2891997,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male
twitch,elspreen,ElSpreen,157658336,1303766,179477,61839,1265,60762,4733454,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/1c14619b-d930-48d4-bd17-91784c8bde0f-profile_image-300x300.jpeg,AR,es,partner,Male
twitch,juansguarnizo,juansguarnizo,121510236,1271956,105688,29870,2555,47126,5142111,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-300x300.png,CO,es,partner,Male
twitch,ibai,ibai,83232866,1244833,111019,49301,1515,27687,4927816,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-300x300.png,ES,es,partner,Male
twitch,fps_shaka,fps_shaka,49207184,1234358,39780,17847,4150,3911,1613117,Gundam Evolution,https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png,JP,ja,partner,Male
twitch,lck_korea,LCK_Korea,190835892,1222150,115417,27413,2675,5892,4538583,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/7a701887-d5fa-4ee8-b277-766d37d3df4b-profile_image-300x300.png,KR,ko,partner,Organization
twitch,elmariana,ElMariana,496795673,1191736,58158,38968,1835,61999,4137142,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-300x300.png,MX,es,partner,Male
twitch,zackrawrr,zackrawrr,552120296,1186653,55450,18787,3790,17169,2187719,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png,US,en,without status,Male
twitch,roshtein,ROSHTEIN,72550899,1060787,27820,16973,3750,1959,1500575,Slots,https://static-cdn.jtvnw.net/jtv_user_pictures/ab4a35d8-8008-41b8-b0e5-db622e4c0a6f-profile_image-300x300.png,SE,en,without status,Male
twitch,tarik,tarik,36340781,988505,25463,17069,3475,12617,2294697,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-300x300.png,US,en,partner,Male
twitch,woowakgood,우왁굳,49045679,987035,35657,16474,3595,3993,2997169,StarCraft,https://static-cdn.jtvnw.net/jtv_user_pictures/ebc60c08-721b-4572-8f51-8be7136a0c96-profile_image-300x300.png,KR,ko,partner,Male
twitch,sodapoppin,sodapoppin,26301881,964427,35638,16301,3550,1896,1949617,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-300x300.png,US,en,partner,Male
twitch,westcol,WestCOL,168732568,916984,161957,53941,1020,64374,4360662,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/0afdc3fb-4825-422d-85ad-fbd2ce93fade-profile_image-300x300.jpeg,CO,es,partner,Male
twitch,illojuan,IlloJuan,90075649,899835,51062,28121,1920,16931,2236089,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/37454f0e-581b-42ba-b95b-416f3113fd37-profile_image-300x300.png,ES,es,partner,Male
twitch,luquet4,LuquEt4,267635380,847966,42492,21931,2320,23059,2094697,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/0863a8b0-7fdb-44a9-8212-680cfbaa38f9-profile_image-300x300.png,BR,pt,partner,Male
twitch,caedrel,Caedrel,92038375,829116,31534,10507,4735,12067,1755814,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-300x300.png,DE,en,partner,Male
twitch,summit1g,summit1g,26490481,828814,20626,12985,3830,489,1452463,Escape from Tarkov,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png,US,en,partner,Male
twitch,handongsuk,한동숙,139470326,791153,35463,15338,3095,1602,3210902,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-300x300.png,KR,ko,partner,Male
twitch,jokerdtv,JokerdTV,48082917,789203,23176,6492,7295,7560,638702,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/02f9752b-833e-436d-b62b-34e7eb798261-profile_image-300x300.png,MT,en,partner,Male
twitch,dkayed,Dkayed,149727725,783956,8966,6327,7435,1458,481255,Yu-Gi-Oh! Duel Links,https://static-cdn.jtvnw.net/jtv_user_pictures/4ce0cca3-d9bf-4227-9db3-c1ad1cce589e-profile_image-300x300.jpeg,US,en,partner,Male
twitch,k3soju,k3soju,128293484,781937,18348,12802,3665,2829,777916,Teamfight Tactics,https://static-cdn.jtvnw.net/jtv_user_pictures/50e4e7b2-ae1c-43dd-ae3a-243de06a9034-profile_image-300x300.png,US,en,partner,Male
twitch,lirik,LIRIK,23161357,781597,32029,20171,2325,769,1423854,Grounded,https://static-cdn.jtvnw.net/jtv_user_pictures/7ddf1f29-544d-4b88-bbed-16e74d836792-profile_image-300x300.png,US,en,partner,Male
