platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,esl_csgo,ESL_CSGO,31239503,10867080,413706,65829,9905,89283,30678282,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-300x300.jpeg,DE,en,partner,Organization
twitch,gaules,Gaules,181077473,8863196,534528,52915,10050,48006,20849972,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-300x300.png,BR,pt,partner,Male
twitch,csgo_mc,csgo_mc,213748641,3574259,203775,64113,3345,23338,12134376,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/22291960-3b5d-4bfd-b929-188df129403e-profile_image-300x300.png,UA,ru,partner,Organization
twitch,kaicenat,KaiCenat,641972806,3569283,283245,71625,2990,123307,13588150,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male
twitch,xqc,xQc,71092938,3499619,81945,52892,3970,20318,9956935,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-300x300.jpeg,CA,en,partner,Male
twitch,adinross,AdinRoss,59299632,2824554,207041,82671,2050,118860,7686914,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-300x300.png,US,en,partner,Male
twitch,hasanabi,HasanAbi,207813352,2313618,86804,40413,3435,11937,5544565,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male
twitch,darumaisgod,だるまいずごっど,132004305,1902195,52319,27770,4110,16798,4972119,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/558550fb-e36d-4adc-b9b4-70e4ed7dd9cb-profile_image-300x300.png,jp,ja,affilate,
twitch,fps_shaka,fps_shaka,49207184,1764360,51093,22915,4620,5706,4522436,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png,JP,ja,partner,Male
twitch,summit1g,summit1g,26490481,1303700,28512,18827,4155,834,3038718,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png,US,en,partner,Male
