platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,dota2ti,dota2ti,35630634,4582534,481036,205189,1340,26772,13251488,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/19b286b5-d586-433b-91fa-6070640fc8a3-profile_image-300x300.png,,en,partner,Organization
twitch,riotgames,Riot Games,36029255,3986725,551487,191364,1250,29770,7353734,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/687eca1d-7479-4770-ab2c-fdac418e6c08-profile_image-300x300.png,US,en,partner,Organization
twitch,xqc,xQc,71092938,3630603,84246,58559,3720,30652,9939472,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-300x300.jpeg,CA,en,partner,Male
twitch,gaules,Gaules,181077473,2844240,303451,17015,10030,15480,1105994,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-300x300.png,BR,pt,partner,Male
twitch,dota2ti_ru,dota2ti_ru,35631192,2636924,310899,118960,1330,21741,10163560,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/7166a1ba-75aa-44cc-bd8b-4a6d8b32b3c0-profile_image-300x300.png,,ru,partner,Organization
twitch,fextralife,Fextralife,156037856,2408429,133341,27526,5250,18426,10109798,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-300x300.png,,en,partner,Organization
twitch,trymacs,Trymacs,64342766,2015285,48854,26173,4620,13895,423616,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-300x300.png,DE,de,partner,Male
twitch,adinross,AdinRoss,59299632,1840836,118446,71490,1545,43521,5451283,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-300x300.png,US,en,partner,Male
twitch,auronplay,auronplay,459331509,1796786,145669,71633,1505,-34777,7944679,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-300x300.png,ES,es,partner,Male
twitch,symfuhny,Symfuhny,31688366,1671728,39856,19515,5140,55055,5888911,Call of Duty: Modern Warfare II,https://static-cdn.jtvnw.net/jtv_user_pictures/1d41de3c-731d-41ae-b0e7-615ad74db8f3-profile_image-300x300.png,US,en,partner,Male
twitch,ibai,ibai,83232866,1660714,302440,69438,1435,18867,6838615,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-300x300.png,ES,es,partner,Male
twitch,lck_korea,LCK_Korea,190835892,1529438,280620,75529,1215,9229,5351444,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/7a701887-d5fa-4ee8-b277-766d37d3df4b-profile_image-300x300.png,KR,ko,partner,Organization
twitch,kaicenat,KaiCenat,641972806,1515538,149980,63813,1425,97692,8590278,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male
twitch,hasanabi,HasanAbi,207813352,1439397,46146,27905,3095,6180,3718299,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male
twitch,loud_coringa,loud_coringa,569325723,1305769,69219,30018,2610,22169,5558214,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/c07acddc-1e1b-479f-97c4-09636f80e857-profile_image-300x300.png,BR,pt,partner,Male
twitch,esl_csgo,ESL_CSGO,31239503,1222805,173231,7290,10065,15418,4707252,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-300x300.jpeg,DE,en,partner,Organization
twitch,fps_shaka,fps_shaka,49207184,1170350,22043,15400,4560,3353,2738284,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png,JP,ja,partner,Male
twitch,stylishnoob4,stylishnoob4,50988750,1121288,25913,18612,3615,5003,2496806,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-300x300.png,JP,ja,partner,Male
twitch,summit1g,summit1g,26490481,1114394,29950,15337,4360,1917,2466177,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png,US,en,partner,Male
twitch,paulinholokobr,PaulinhoLOKObr,531177917,1106548,140459,79513,835,29706,2724917,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-300x300.png,BR,pt,partner,Male
twitch,otplol_,otplol_,622498423,1048976,115946,8742,7200,3737,2534166,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/787bd9dd-9367-45ed-a44d-d755427549b8-profile_image-300x300.png,FR,fr,partner,Organization
twitch,lvpes,LVPes,22346597,1043836,127804,24466,2560,6817,2293074,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-300x300.png,ES,es,partner,Organization
twitch,tarik,tarik,36340781,1037079,23065,13844,4495,11790,2960736,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-300x300.png,US,en,partner,Male
twitch,a_seagull,A_Seagull,19070311,1027405,54082,22295,2765,21372,2029951,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a_seagull-profile_image-4d2d235688c7dc66-300x300.png,US,en,partner,Male
twitch,just_ns,just_ns,42316376,997048,114388,29913,2000,4506,2469137,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/d61321a5-9a02-4f46-b718-70e3c4260d66-profile_image-300x300.png,RU,ru,partner,Male
twitch,loltyler1,loltyler1,51496027,941934,27552,16478,3430,12077,2217963,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-300x300.png,US,en,partner,Male
twitch,eliasn97,eliasn97,238813810,939054,51066,26767,2105,6816,595164,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male
twitch,rubius,Rubius,39276140,904341,63886,31275,1735,-17447,4508739,Food & Drink,https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-300x300.jpg,ES,es,partner,Male
twitch,dansgaming,DansGaming,7236692,899350,9595,5354,10080,-3622,1207695,Resident Evil Village,https://static-cdn.jtvnw.net/jtv_user_pictures/79c71a35-8944-41d7-b9cd-1aaaae4a53ee-profile_image-300x300.png,US,en,partner,Male
twitch,trainwreckstv,Trainwreckstv,71190292,881100,25193,13609,3885,8837,1412492,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/1f47965f-7961-4b64-ad6f-71808d7d7fe9-profile_image-300x300.png,US,en,partner,Male
twitch,juansguarnizo,juansguarnizo,121510236,820483,41622,24432,2015,34458,3640885,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-300x300.png,CO,es,partner,Male
twitch,sodapoppin,sodapoppin,26301881,801779,26620,13648,3525,240,2289500,Dark and Darker,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-300x300.png,US,en,partner,Male
twitch,noway4u_sir,NoWay4u_Sir,85397463,791349,20922,13414,3540,2146,1476310,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-300x300.png,DE,de,partner,Male
twitch,kamet0,Kamet0,27115917,778236,89834,20302,2300,5614,2982117,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/9e12862d-a8d0-4df2-81aa-e2241022dc98-profile_image-300x300.jpg,FR,fr,partner,Male
twitch,illojuan,IlloJuan,90075649,769322,75654,52754,875,9295,2561715,Pokémon Community Game,https://static-cdn.jtvnw.net/jtv_user_pictures/37454f0e-581b-42ba-b95b-416f3113fd37-profile_image-300x300.png,ES,es,partner,Male
twitch,hanryang1125,풍월량,103825127,759313,19491,12053,3780,999,1744032,Dark and Darker,https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-300x300.png,KR,ko,partner,Male
twitch,lla,LLA,142055874,732392,116708,61893,710,7506,998433,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/2944bdb8-bbd5-4cfc-9aa6-429a2d0b6789-profile_image-300x300.jpeg,MX,es,partner,Organization
twitch,tumblurr,Tumblurr,77827128,732382,31500,13079,3360,6052,2485037,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/8cabb91c-1fea-41f3-ac28-2938e918ead4-profile_image-300x300.jpeg,IT,it,partner,Male
twitch,nickmercs,NICKMERCS,15564828,720787,23190,15017,2880,3971,2084310,Apex Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/b3c347ed-1a7a-40a2-8bee-8a7c4426eb33-profile_image-300x300.png,US,en,partner,Male
twitch,jltomy,JLTomy,155601320,715621,25409,13356,3215,3618,2463932,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/aa2bc80a-e317-494a-a94d-7492889e4f66-profile_image-300x300.png,FR,fr,partner,Male
twitch,nix,Nix,67708794,688821,206447,74468,555,5206,2021194,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/c8ff98b9-b235-47c1-8079-ad10f5099dc2-profile_image-300x300.png,RU,ru,partner,Male
twitch,emongg,Emongg,23220337,681142,33199,12385,3300,18211,1332732,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/10c36ad0a4756df8-profile_image-300x300.png,US,en,partner,Male
twitch,castro_1021,Castro_1021,52091823,680243,34184,19208,2125,4157,2149834,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-300x300.jpg,US,en,partner,Male
twitch,handongsuk,한동숙,139470326,663371,23213,12677,3140,1375,1704410,Mount & Blade II: Bannerlord,https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-300x300.png,KR,ko,partner,Male
